rtt,randRate,controlRate,throughput,retransmits,cwnd,mss
26.3,6,0.1,0.0,929,478,8948
26.319,6,0.1,0.0,929,478,8948
26.859,6,0.1,0.0,929,479,8948
26.264,6,0.1,0.0,929,480,8948
26.589,6,0.1,0.0,929,480,8948
26.26,6,0.1,0.0,929,481,8948
26.337,6,0.1,0.0,929,482,8948
26.869,6,0.1,0.0,929,482,8948
26.324,6,0.1,0.0,929,483,8948
26.311,6,0.1,0.0,929,484,8948
26.378,6,0.1,0.0,929,484,8948
26.275,6,0.1,0.0,929,485,8948
26.224,6,0.1,0.0,929,486,8948
26.329,6,0.1,0.0,929,486,8948
26.237,6,0.1,0.0,929,487,8948
26.281,6,0.1,0.0,929,487,8948
26.241,6,0.1,0.0,929,488,8948
26.269,6,0.1,0.0,929,489,8948
26.191,3,0.1,0.0,929,489,8948
26.2,3,0.1,0.0,929,490,8948
26.251,3,0.1,0.0,929,491,8948
26.29,3,0.1,0.0,929,492,8948
26.39,3,0.1,0.0,929,492,8948
26.255,3,0.1,0.0,929,493,8948
26.318,3,0.1,0.0,929,494,8948
26.202,3,0.1,0.0,929,494,8948
26.228,3,0.1,0.0,929,495,8948
26.211,3,0.1,0.0,929,496,8948
26.223,3,0.1,0.0,929,496,8948
26.358,3,0.1,0.0,929,497,8948
26.273,3,0.1,0.0,929,498,8948
26.246,3,0.1,0.0,929,498,8948
27.266,3,0.1,0.0,929,499,8948
26.206,3,0.1,0.0,929,500,8948
26.238,3,0.1,0.0,929,500,8948
26.211,3,0.1,0.0,929,501,8948
26.317,3,0.1,0.0,929,502,8948
26.917,3,0.1,0.0,929,502,8948
26.235,3,0.1,0.0,929,503,8948
26.285,3,0.1,0.0,929,504,8948
26.25,3,0.1,0.0,929,504,8948
26.202,3,0.1,0.0,929,505,8948
26.183,3,0.1,0.0,929,506,8948
27.053,3,0.1,0.0,929,506,8948
26.223,3,0.1,0.0,929,507,8948
26.269,3,0.1,0.0,929,508,8948
26.328,3,0.1,0.0,929,508,8948
26.369,3,0.1,0.0,929,510,8948
26.263,3,0.1,0.0,929,511,8948
26.317,3,0.1,0.0,929,512,8948
26.356,3,0.1,0.0,929,514,8948
26.255,3,0.1,0.0,929,515,8948
26.268,3,0.1,0.0,929,516,8948
26.279,3,0.1,0.0,929,518,8948
26.235,3,0.1,0.0,929,519,8948
26.298,3,0.1,0.0,929,521,8948
26.319,3,0.1,0.0,929,522,8948
26.426,3,0.1,0.0,929,523,8948
26.283,3,0.1,0.0,929,525,8948
26.485,3,0.1,0.0,929,525,8948
26.448,3,0.1,0.0,929,527,8948
26.247,3,0.1,0.0,929,529,8948
26.28,3,0.1,0.0,929,529,8948
26.3,3,0.1,0.0,929,531,8948
26.291,3,0.1,0.0,929,532,8948
