end,ertt,lHat,samplertt,controlRate,throughput,retransmits,cwnd,mss,txPort,rxPort
"-1 day, 23:59:58.360407",50.296,50.417885558684752,49.26700000000001,32.984786566222503,0.0,4701,2458,8948,43321,5650
"-1 day, 23:59:58.345337",50.947,50.682445651059716,55.504000000000026,32.872093750056244,0.0,4701,2458,8948,43321,5650
"-1 day, 23:59:58.330673",50.918,50.800223408095007,50.714999999999975,32.854369770078883,0.0,4701,2458,8948,43321,5650
"-1 day, 23:59:58.315805",50.368,50.584113621206015,46.51800000000002,33.014618110984962,0.0,4701,2459,8948,43321,5650
"-1 day, 23:59:58.301042",50.429,50.506557047016756,50.856,32.767834679583054,0.0,4701,2459,8948,43321,5650
"-1 day, 23:59:58.284479",50.555,50.530778553889562,51.43699999999998,32.465873606012401,1061815.392,4701,2459,8948,43321,5650
"-1 day, 23:59:58.270116",50.336,50.43338967725758,48.80299999999999,32.648054478156403,1061815.392,4701,2460,8948,43321,5650
"-1 day, 23:59:58.255547",50.315,50.374194984105486,50.16799999999999,32.889394208344363,1061815.392,4701,2460,8948,43321,5650
"-1 day, 23:59:58.240679",50.403,50.388597498373151,51.019000000000005,32.837215710336899,1061815.392,4701,2460,8948,43321,5650
"-1 day, 23:59:58.225777",50.499,50.443798874611844,51.17100000000003,32.879269781909123,1061815.392,4701,2460,8948,43321,5650
"-1 day, 23:59:58.211366",50.165,50.304400233667494,47.82699999999998,32.961066476092988,1061815.392,4701,2461,8948,43321,5650
"-1 day, 23:59:58.196548",50.5,50.402200507199375,52.845000000000006,32.932484483335102,1061815.392,4701,2461,8948,43321,5650
"-1 day, 23:59:58.182046",50.429,50.415600260597493,49.932000000000016,32.929734502578839,1061815.392,4701,2461,8948,43321,5650
"-1 day, 23:59:58.167308",50.314,50.364800235394611,49.508999999999986,32.92581821043192,1061815.392,4701,2462,8948,43321,5650
"-1 day, 23:59:58.152631",50.376,50.370400118980669,50.80999999999998,33.000170660928568,1061815.392,4701,2462,8948,43321,5650
"-1 day, 23:59:58.136027",50.47,50.420200160465654,51.12800000000001,32.86760248458463,0.0,4701,2462,8948,43321,5650
"-1 day, 23:59:58.121258",50.352,50.38610012799866,49.52599999999998,32.941429581772063,0.0,4701,2462,8948,43321,5650
"-1 day, 23:59:58.106242",50.293,50.33955015230049,49.88000000000002,32.942798845539009,0.0,4701,2463,8948,43321,5650
"-1 day, 23:59:58.091526",50.416,50.377775135798146,51.27699999999998,32.893803258054376,0.0,4701,2463,8948,43321,5650
"-1 day, 23:59:58.076981",50.457,50.417387632220866,50.74400000000003,32.919050890288112,0.0,4701,2463,8948,43321,5650
"-1 day, 23:59:58.062382",50.283,50.350194000430989,49.065000000000005,32.973793970395057,0.0,4701,2464,8948,43321,5650
"-1 day, 23:59:58.047303",50.553,50.451597420132082,52.44299999999997,32.982144771788477,0.0,4701,2464,8948,43321,5650
"-1 day, 23:59:58.032753",50.459,50.455298710305541,49.801000000000045,32.948149914973193,0.0,4701,2464,8948,43321,5650
"-1 day, 23:59:58.018372",50.321,50.388149538867957,49.35499999999996,32.915942355320958,0.0,4701,2464,8948,43321,5650
"-1 day, 23:59:58.003720",50.262,50.325074931681741,49.84900000000002,32.887731633956754,0.0,4701,2465,8948,43321,5650
"-1 day, 23:59:57.987000",50.464,50.394537663596424,51.877999999999986,32.797710981224434,871499.52,4701,2465,8948,43321,5650
"-1 day, 23:59:57.972579",50.472,50.43326889422783,50.52800000000002,32.952012791337005,871499.52,4701,2465,8948,43321,5650
"-1 day, 23:59:57.957989",50.275,50.354134702574711,48.89599999999998,33.001444514064382,871499.52,4701,2466,8948,43321,5650
"-1 day, 23:59:57.943301",50.401,50.377567373129558,51.28300000000004,32.948669879705562,871499.52,4701,2466,8948,43321,5650
"-1 day, 23:59:57.928722",50.449,50.413283738687554,50.78499999999996,32.877557641684376,871499.52,4701,2466,8948,43321,5650
"-1 day, 23:59:57.914189",50.315,50.36414196814566,49.376999999999995,32.914708831407879,871499.52,4701,2467,8948,43321,5650
