end,ertt,lHat,samplertt,controlRate,throughput,retransmits,cwnd,mss,txPort,rxPort
"-1 day, 23:59:59.039228",29.364,29.367542790156421,29.287000000000006,14.253409961827467,0.0,1367,857,8948,55614,5656
"-1 day, 23:59:59.023469",29.421,29.394271472661973,29.81999999999999,14.260774599020193,0.0,1367,858,8948,55614,5656
"-1 day, 23:59:59.007432",29.341,29.367635813321499,28.781000000000013,14.27871572982175,0.0,1367,858,8948,55614,5656
"-1 day, 23:59:58.991532",29.355,29.361317910919372,29.452999999999996,14.251944908034975,0.0,1367,859,8948,55614,5656
"-1 day, 23:59:58.975653",29.363,29.362158955574166,29.418999999999993,14.24708615657616,0.0,1367,859,8948,55614,5656
"-1 day, 23:59:58.960204",29.279,29.320579665448097,28.691000000000003,14.225244887004285,0.0,1367,860,8948,55614,5656
"-1 day, 23:59:58.944581",29.274,29.297289891816078,29.239000000000008,14.250960900930414,0.0,1367,860,8948,55614,5656
"-1 day, 23:59:58.928929",29.306,29.301644947918607,29.53,14.247507357110329,0.0,1367,861,8948,55614,5656
"-1 day, 23:59:58.912866",29.35,29.325822537493234,29.658000000000005,14.286287028551202,0.0,1367,861,8948,55614,5656
"-1 day, 23:59:58.895480",29.33,29.327911269091121,29.189999999999976,14.34535884395668,518931.792,1367,862,8948,55614,5656
"-1 day, 23:59:58.879639",29.418,29.372955853494261,30.034000000000006,14.346713221109239,518931.792,1367,862,8948,55614,5656
"-1 day, 23:59:58.864135",29.297,29.334978081536814,28.45000000000001,14.310325169984612,518931.792,1367,863,8948,55614,5656
"-1 day, 23:59:58.848668",29.308,29.321489060461371,29.384999999999994,14.261454409743536,518931.792,1367,864,8948,55614,5656
"-1 day, 23:59:58.832747",29.4,29.360744697236562,30.04399999999999,14.267411612202499,518931.792,1367,864,8948,55614,5656
"-1 day, 23:59:58.816470",29.371,29.365872351652126,29.168,14.268367804396286,518931.792,1367,865,8948,55614,5656
"-1 day, 23:59:58.800677",29.368,29.366936175990645,29.346999999999998,14.329654007359855,518931.792,1367,865,8948,55614,5656
"-1 day, 23:59:58.784907",29.344,29.355468102078522,29.17600000000002,14.287499076928713,518931.792,1367,866,8948,55614,5656
"-1 day, 23:59:58.769320",29.405,29.380234117393538,29.832,14.245424392710538,518931.792,1367,866,8948,55614,5656
"-1 day, 23:59:58.753190",29.379,29.379617058874668,29.197000000000003,14.274374358587878,518931.792,1367,867,8948,55614,5656
"-1 day, 23:59:58.735924",29.384,29.381808529952956,29.418999999999993,14.277129856189811,525713.328,1367,867,8948,55614,5656
"-1 day, 23:59:58.720436",29.317,29.349404378717935,28.848,14.261617940995498,525713.328,1367,868,8948,55614,5656
"-1 day, 23:59:58.704920",29.354,29.351702189985456,29.612999999999992,14.224015244725454,525713.328,1367,868,8948,55614,5656
"-1 day, 23:59:58.689310",29.35,29.350851095158344,29.322000000000017,14.248781725138791,525713.328,1367,869,8948,55614,5656
"-1 day, 23:59:58.673401",29.319,29.334925575132448,29.101999999999983,14.260786737362332,525713.328,1367,869,8948,55614,5656
"-1 day, 23:59:58.657447",29.391,29.362962872961543,29.894999999999992,14.296100000823284,525713.328,1367,870,8948,55614,5656
"-1 day, 23:59:58.641568",29.432,29.397481565578477,29.719,14.298473707273562,525713.328,1367,871,8948,55614,5656
"-1 day, 23:59:58.626038",29.325,29.36124092469019,28.576000000000004,14.298737412031345,525713.328,1367,871,8948,55614,5656
"-1 day, 23:59:58.609938",29.353,29.357120464083629,29.549000000000017,14.273264716556907,525713.328,1367,872,8948,55614,5656
"-1 day, 23:59:58.594253",29.358,29.357560232135487,29.392999999999994,14.225573190275206,525713.328,1367,872,8948,55614,5656
"-1 day, 23:59:58.577104",29.33,29.343780136787547,29.133999999999983,14.231645392760356,0.0,1367,873,8948,55614,5656
