end,ertt,lHat,samplertt,controlRate,throughput,retransmits,cwnd,mss,txPort,rxPort
"-1 day, 23:59:58.817218",70.303,70.276566632779989,70.70899999999995,4.1315978621051812,0.0,-1,9098,8948,34977,5383
"-1 day, 23:59:58.801554",70.245,70.26078348137618,69.83900000000006,4.143906116010351,0.0,-1,9098,8948,34977,5383
"-1 day, 23:59:58.786072",70.282,70.271391814740284,70.54099999999994,4.1720722232604563,0.0,-1,9098,8948,34977,5383
"-1 day, 23:59:58.770206",70.269,70.270195907661716,70.17800000000007,4.1470438785776418,0.0,-1,9098,8948,34977,5383
"-1 day, 23:59:58.752856",70.25,70.260098021070306,70.11699999999996,4.1191937244237966,1021126.176,-1,9098,8948,34977,5383
"-1 day, 23:59:58.736899",70.278,70.269049063813284,70.47400000000005,4.1496834841677845,1021126.176,-1,9098,8948,34977,5383
"-1 day, 23:59:58.721475",70.294,70.281524634522228,70.40599999999993,4.1365600636833211,1021126.176,-1,9098,8948,34977,5383
"-1 day, 23:59:58.705320",70.269,70.27526234322886,70.09400000000007,4.1490860520875934,1021126.176,-1,9098,8948,34977,5383
"-1 day, 23:59:58.689615",70.25,70.262631276810566,70.11699999999996,4.1423687290350282,1021126.176,-1,9098,8948,34977,5383
"-1 day, 23:59:58.673680",70.267,70.264815641573492,70.38599999999997,4.1179208303117747,1021126.176,-1,9098,8948,34977,5383
"-1 day, 23:59:58.658252",70.248,70.256407867723141,70.11500000000007,4.1197588845719109,1021126.176,-1,9098,8948,34977,5383
"-1 day, 23:59:58.641990",70.253,70.254703935847871,70.28799999999997,4.1426044133819184,1021126.176,-1,9098,8948,34977,5383
"-1 day, 23:59:58.626212",70.305,70.279852386228015,70.66900000000005,4.1601081227520469,1021126.176,-1,9098,8948,34977,5383
"-1 day, 23:59:58.610364",70.265,70.272426228739988,69.98499999999996,4.1563748071776709,1021126.176,-1,9098,8948,34977,5383
"-1 day, 23:59:58.592994",70.318,70.295213456152226,70.68899999999998,4.1621584735728954,0.0,-1,9098,8948,34977,5383
"-1 day, 23:59:58.576884",70.328,70.311606904501204,70.39800000000004,4.1497322604727094,0.0,-1,9098,8948,34977,5383
"-1 day, 23:59:58.560644",70.286,70.298803560347494,69.99199999999999,4.1156147503005753,0.0,-1,9098,8948,34977,5383
"-1 day, 23:59:58.544997",70.301,70.299901781725609,70.406,4.1168780625914714,0.0,-1,9098,8948,34977,5383
"-1 day, 23:59:58.529019",70.297,70.298450892436364,70.26899999999996,4.0805860061403623,0.0,-1,9098,8948,34977,5383
"-1 day, 23:59:58.512913",70.28,70.289225503198054,70.16100000000003,4.0866746588449256,0.0,-1,9098,8948,34977,5383
"-1 day, 23:59:58.497114",70.299,70.294112767660934,70.43200000000004,4.1125899581343477,0.0,-1,9098,8948,34977,5383
"-1 day, 23:59:58.481198",70.335,70.314556662375765,70.5869999999999,4.113234544490072,0.0,-1,9098,8948,34977,5383
"-1 day, 23:59:58.465308",70.33,70.322278370697958,70.29500000000003,4.1248862595512428,0.0,-1,9098,8948,34977,5383
"-1 day, 23:59:58.449715",70.274,70.298139572311626,69.88200000000002,4.1150596411997782,0.0,-1,9098,8948,34977,5383
"-1 day, 23:59:58.432194",70.314,70.306069827998783,70.59399999999994,4.0835068038835587,1018096.128,-1,9098,8948,34977,5383
"-1 day, 23:59:58.416409",70.297,70.301534928314638,70.17800000000003,4.070496609586983,1018096.128,-1,9098,8948,34977,5383
"-1 day, 23:59:58.400515",70.291,70.296267483037539,70.249,4.0899881762064707,1018096.128,-1,9098,8948,34977,5383
"-1 day, 23:59:58.385185",70.288,70.292133752927299,70.267,4.1157143916483436,1018096.128,-1,9098,8948,34977,5383
"-1 day, 23:59:58.369515",70.305,70.298566903959099,70.42400000000008,4.0961195223488307,1018096.128,-1,9098,8948,34977,5383
"-1 day, 23:59:58.353858",70.281,70.289783503494931,70.113,4.1110383610017038,1018096.128,-1,9098,8948,34977,5383
"-1 day, 23:59:58.338119",70.294,70.291891754646883,70.38499999999993,4.1128260655191893,1018096.128,-1,9098,8948,34977,5383
"-1 day, 23:59:58.322644",70.286,70.288945883079364,70.23000000000003,4.111887682526902,1018096.128,-1,9098,8948,34977,5383
"-1 day, 23:59:58.307051",70.291,70.289972942236432,70.32599999999996,4.1074274079484665,1018096.128,-1,9098,8948,34977,5383
"-1 day, 23:59:58.291139",70.272,70.280986524884895,70.13900000000007,4.1189899410314128,1018096.128,-1,9098,8948,34977,5383
