end,ertt,lHat,samplertt,controlRate,throughput,retransmits,cwnd,mss,txPort,rxPort
"-1 day, 23:59:50.166782",29.432,29.434948248873731,29.214999999999982,3.9038314947888706,1095867.36,1196,1882,8948,51133,5657
"-1 day, 23:59:50.152745",29.451,29.442974163711003,29.584000000000014,3.8698215019078317,1095867.36,1196,1887,8948,51133,5657
"-1 day, 23:59:50.138760",29.441,29.441987083298621,29.370999999999988,3.8822234692812851,1095867.36,1196,1893,8948,51133,5657
"-1 day, 23:59:50.124729",29.494,29.467993948676842,29.865000000000006,3.863015406117956,1095867.36,1196,1899,8948,51133,5657
"-1 day, 23:59:50.110778",29.432,29.449997170772889,28.99799999999999,3.8745647345004168,1095867.36,1196,1905,8948,51133,5657
"-1 day, 23:59:50.096773",29.46,29.454998600529112,29.656000000000017,3.854829857784638,1095867.36,1196,1911,8948,51133,5657
"-1 day, 23:59:50.082830",29.43,29.442499395238197,29.21999999999999,3.8478449605482905,1095867.36,1196,1917,8948,51133,5657
"-1 day, 23:59:50.068665",29.503,29.472750253638665,30.014000000000003,3.8416555698060604,1095867.36,1196,1922,8948,51133,5657
"-1 day, 23:59:50.052947",29.407,29.439875785242538,28.735,3.8701025593620115,0.0,1196,1929,8948,51133,5657
"-1 day, 23:59:50.038933",29.446,29.442937896775174,29.719000000000012,3.8471681710196424,0.0,1196,1935,8948,51133,5657
"-1 day, 23:59:50.025012",29.411,29.426969103818706,29.166,3.8504498335257966,0.0,1196,1941,8948,51133,5657
"-1 day, 23:59:50.011152",29.486,29.456485081756028,30.010999999999996,3.8434795084383011,0.0,1196,1946,8948,51133,5657
"-1 day, 23:59:49.997162",29.597,29.526745547513485,30.374000000000006,3.9189644579663274,0.0,1196,1952,8948,51133,5657
"-1 day, 23:59:49.983254",29.483,29.504873044331553,28.684999999999995,3.8953454322565131,0.0,1196,1958,8948,51133,5657
"-1 day, 23:59:49.969350",29.49,29.497436553688484,29.538999999999984,3.8572655281183761,0.0,1196,1964,8948,51133,5657
"-1 day, 23:59:49.955462",29.424,29.460719093882631,28.962000000000007,3.7718082737992771,0.0,1196,1969,8948,51133,5657
"-1 day, 23:59:49.941469",29.5,29.480359793623599,30.032000000000004,3.7488210395673707,0.0,1196,1975,8948,51133,5657
"-1 day, 23:59:49.927404",29.405,29.442680782318469,28.74000000000001,3.8251080721838213,0.0,1196,1981,8948,51133,5657
"-1 day, 23:59:49.911716",29.522,29.482341357145341,30.34099999999998,3.8410255083912417,1157189.76,1196,1988,8948,51133,5657
"-1 day, 23:59:49.897672",29.48,29.481170675076378,29.186000000000014,3.8748404728773225,1157189.76,1196,1994,8948,51133,5657
"-1 day, 23:59:49.883326",29.426,29.453585797519565,29.047999999999984,3.8352416417676021,1157189.76,1196,2000,8948,51133,5657
"-1 day, 23:59:49.869466",29.415,29.434293126604189,29.338000000000005,3.8458656703155785,1157189.76,1196,2006,8948,51133,5657
"-1 day, 23:59:49.855508",29.519,29.476647656591453,30.246999999999993,3.8090815851282795,1157189.76,1196,2013,8948,51133,5657
"-1 day, 23:59:49.841851",29.527,29.501824220447045,29.58300000000002,3.8740573898404604,1157189.76,1196,2019,8948,51133,5657
"-1 day, 23:59:49.827763",29.545,29.523412389971146,29.671000000000006,3.9014456925112091,1157189.76,1196,2025,8948,51133,5657
"-1 day, 23:59:49.813902",29.538,29.530706223997839,29.48899999999999,3.8656800311949286,1157189.76,1196,2031,8948,51133,5657
"-1 day, 23:59:49.800144",29.46,29.495353868216935,28.914000000000005,3.7812307279650326,1157189.76,1196,2037,8948,51133,5657
"-1 day, 23:59:49.786306",29.541,29.518177259929672,30.107999999999997,3.7711956349824405,1157189.76,1196,2044,8948,51133,5657
"-1 day, 23:59:49.770868",29.505,29.511588660129775,29.25299999999999,3.7791347231251113,0.0,1196,2050,8948,51133,5657
"-1 day, 23:59:49.756942",29.567,29.539294806482197,30.00100000000001,3.8079805823925907,0.0,1196,2057,8948,51133,5657
"-1 day, 23:59:49.742918",29.613,29.576148241744104,29.934999999999995,3.8440522775334189,0.0,1196,2063,8948,51133,5657
"-1 day, 23:59:49.728952",29.729,29.65257770377286,30.540999999999997,3.8193050776819284,0.0,1196,2069,8948,51133,5657
"-1 day, 23:59:49.715075",29.803,29.727792328491109,30.321000000000012,3.8344051265202781,0.0,1196,2075,8948,51133,5657
"-1 day, 23:59:49.701181",29.894,29.810900394662266,30.53099999999998,3.779543415607141,0.0,1196,2081,8948,51133,5657
"-1 day, 23:59:49.687426",29.972,29.891454231947584,30.518000000000022,3.7123245094607116,0.0,1196,2087,8948,51133,5657
"-1 day, 23:59:49.673334",30.065,29.978231886343551,30.716,3.6150338502784916,0.0,1196,2093,8948,51133,5657
"-1 day, 23:59:49.659494",30.163,30.070621504477241,30.848999999999993,3.5419601884922147,0.0,1196,2100,8948,51133,5657
"-1 day, 23:59:49.645678",30.257,30.163816553961627,30.91500000000001,3.46081915970167,0.0,1196,2106,8948,51133,5657
"-1 day, 23:59:49.630404",30.329,30.246412988317523,30.832999999999995,3.3773917940997573,1217862.864,1196,2113,8948,51133,5657
"-1 day, 23:59:49.616558",30.43,30.338212431598897,31.136999999999993,3.2837291008617622,1217862.864,1196,2119,8948,51133,5657
"-1 day, 23:59:49.602721",30.525,30.431612559908604,31.18999999999999,3.1942245526112831,1217862.864,1196,2126,8948,51133,5657
"-1 day, 23:59:49.588747",30.625,30.528313288542218,31.32500000000001,3.1117113824961526,1217862.864,1196,2132,8948,51133,5657
"-1 day, 23:59:49.574738",30.7,30.614162381486789,31.224999999999994,3.0292798575269089,1217862.864,1196,2138,8948,51133,5657
"-1 day, 23:59:49.560904",30.804,30.70908835687235,31.531999999999993,2.9303189563381289,1217862.864,1196,2145,8948,51133,5657
"-1 day, 23:59:49.546831",30.875,30.792049914192482,31.37200000000001,2.8358739732723603,1217862.864,1196,2151,8948,51133,5657
"-1 day, 23:59:49.533014",30.973,30.882531962626242,31.658999999999992,2.7435799038901414,1217862.864,1196,2157,8948,51133,5657
"-1 day, 23:59:49.519297",31.095,30.988775915975907,31.948999999999998,2.6663716762922105,1217862.864,1196,2163,8948,51133,5657
"-1 day, 23:59:49.505336",31.157,31.072894523255723,31.591000000000008,2.5747365676054872,1217862.864,1196,2170,8948,51133,5657
"-1 day, 23:59:49.489837",31.262,31.16745576202295,31.997000000000003,2.4877866317668285,1244844.72,1196,2177,8948,51133,5657
"-1 day, 23:59:49.475925",31.353,31.26023639508885,31.99000000000001,2.3853475603556693,1244844.72,1196,2183,8948,51133,5657
"-1 day, 23:59:49.461845",31.447,31.353627214935262,32.10499999999998,2.284330376386988,1244844.72,1196,2189,8948,51133,5657
"-1 day, 23:59:49.447934",31.511,31.432320425262503,31.959,2.2028892669847151,1244844.72,1196,2196,8948,51133,5657
