end,ertt,lHat,samplertt,controlRate,throughput,retransmits,cwnd,mss,txPort,rxPort
"-1 day, 23:59:58.605428",69.736,69.861283531297602,67.25800000000001,1.9922846853040348,904974.336,2851,3515,8948,42121,5382
"-1 day, 23:59:58.589781",69.824,69.842639167575854,70.43999999999996,1.8693071976187137,0.0,2851,3517,8948,42121,5382
"-1 day, 23:59:58.575460",69.7,69.771327159597391,68.83200000000004,1.7035406537352702,0.0,2851,3518,8948,42121,5382
"-1 day, 23:59:58.561475",69.895,69.833170015466777,71.25999999999995,1.7223005918129868,0.0,2851,3520,8948,42121,5382
"-1 day, 23:59:58.547480",70.306,70.069675648725493,73.183,2.046911010425998,0.0,2851,3521,8948,42121,5382
"-1 day, 23:59:58.532898",69.811,69.94035866262135,66.34600000000007,1.9927641035201649,0.0,2851,3523,8948,42121,5382
"-1 day, 23:59:58.519098",69.757,69.848690605005729,69.37899999999999,1.8624410671795761,0.0,2851,3525,8948,42121,5382
"-1 day, 23:59:58.505222",69.708,69.778353136225618,69.36499999999995,1.5972702010390367,0.0,2851,3526,8948,42121,5382
"-1 day, 23:59:58.491085",69.756,69.767178156408178,70.09200000000001,1.5190976178826356,0.0,2851,3528,8948,42121,5382
"-1 day, 23:59:58.476921",69.822,69.794590993535849,70.28400000000002,1.940972604616878,0.0,2851,3529,8948,42121,5382
"-1 day, 23:59:58.463090",69.748,69.771295895975499,69.23000000000002,1.9950181479801448,0.0,2851,3531,8948,42121,5382
"-1 day, 23:59:58.447522",69.778,69.774647807041362,69.98800000000001,1.9941146124987779,886289.04,2851,3533,8948,42121,5382
"-1 day, 23:59:58.433544",69.672,69.723327684109222,68.92999999999994,1.9304040523929682,886289.04,2851,3534,8948,42121,5382
"-1 day, 23:59:58.419023",70.23,69.976757147513595,74.13600000000005,1.9659706076452794,886289.04,2851,3536,8948,42121,5382
"-1 day, 23:59:58.404755",69.732,69.854399822396033,66.24599999999997,2.0323256833255274,886289.04,2851,3537,8948,42121,5382
"-1 day, 23:59:58.390369",69.836,69.84519931033347,70.564,1.9169710123567434,886289.04,2851,3539,8948,42121,5382
"-1 day, 23:59:58.376051",69.744,69.794603678098326,69.10000000000001,1.8278689937379342,886289.04,2851,3541,8948,42121,5382
"-1 day, 23:59:58.361531",69.734,69.764303567789327,69.66399999999996,1.6009861350199872,886289.04,2851,3543,8948,42121,5382
"-1 day, 23:59:58.347246",69.773,69.768652334981624,70.046,1.9500001758573056,886289.04,2851,3544,8948,42121,5382
"-1 day, 23:59:58.333273",69.769,69.768825979438176,69.74100000000007,1.9188762332408182,886289.04,2851,3546,8948,42121,5382
"-1 day, 23:59:58.319377",70.279,70.024010286306464,73.84899999999993,2.0501977276668168,886289.04,2851,3548,8948,42121,5382
"-1 day, 23:59:58.303776",70.056,70.040003361607859,68.495,2.0755454373907325,0.0,2851,3550,8948,42121,5382
